id;name;lat;long;value
1;Amoy;24.479794;118.081869;76
2;Anking;30.513646;117.047234;1
3;Annam;17.25;106.5;3
4;Antung;40.129167;124.394722;19
5;Bac-Ninh;21.1833;106.05;1
6;Bangkok;13.753;100.501;396
7;Batavia;-6.1333;106.75;53
8;Battambang;13.1;103.2;1
9;British North Borneo;5.5;117;85
10;Brunei;4.5;114.6667;13
11;Cambodge;13;105;1
12;Canton;23.116667;113.25;339
13;Cebu;10.321;123.754;79
14;Changchow;24.513333;117.655556;3
15;Changchun;43.886944;125.324722;4
16;Changsha;28.196111;112.972222;46
17;Changtu;42.293056;123.841389;1
18;Chefoo;37.533333;121.4;73
19;Chemulpo;37.4667;126.6333;8
20;China;35;105;1
21;Chinkiang;32.210863;119.455076;11
22;Chinnampo;38.737;125.407;1
23;Chinwangtao;39.931667;119.588333;13
24;Cholon;10.7333;106.65;5
25;Chosen;37;127.5;21
26;Chungking;29.562778;106.552778;37
27;Dairen;38.912222;121.602222;50
28;Davao;7.073;125.612;2
29;Federated Malay States;4;102.1;46
30;Foochow;27.95999;116.333333;95
31;Formosa;24;121;19
32;Fukagawa;35.6667;139.8;1
33;Hainan;19.25;109.75;5
34;Haiphong;20.8667;106.6833;124
35;Hakodate;41.7667;140.7333;7
36;Hangchow;30.29365;120.161419;21
37;Hankow;30.583333;114.266667;409
38;Hanoi;21.0167;105.8667;45
39;Harbin;45.75;126.65;179
40;Hoihow;20.045833;110.341667;16
41;Hokow;22.538506;104.01109;1
42;Hongkong;22.25;114.1667;2374
43;Huchow;30.870301;120.093297;1
44;Hunchun;42.8675;130.358056;1
45;Ichang;30.77135;111.321458;21
46;Iloilo;10.7;122.5667;62
47;Ipoh;4.6;101.0333;3
48;Java;-7.491667;110.004444;2
49;Johore;2;103.5;163
50;Kachek;19.2425;110.464167;2
51;Kedah;6;100.666667;50
52;Kelantan;5.333333;102;24
53;Kiashing;30.766667;120.75;2
54;Kiukiang;29.733333;115.983333;3
55;Kiungchow;20.005833;110.354167;2
56;Klang;3;101.45;2
57;Kluang;-2.6833;103.9;1
58;Kobe;34.6667;135.2;527
59;Kongmoon;22.583333;113.083333;11
60;Kota Belud;6.3667;116.3167;1
61;Kowloon Frontier;22.3167;114.1833;33
62;Kuala Kangsar;4.8333;100.9167;1
63;Kuala Lipis;4.1833;102;1
64;Kuala Lumpur;3.1667;101.7;36
65;Kuantan;3.8333;103.3167;1
66;Kyoto;35;135.75;6
67;Kyushu;33;131;1
68;Labuan;5.333333;115.2;12
69;Lappa;22.12;113.510114;2
70;Luar;4;97;1
71;Lungchingtsun;42.771389;129.423333;1
72;Lungchow;22.4;106.9833;4
73;Macao;22.1667;113.55;28
74;Malacca;2.25;102.25;110
75;Malaya;2.5;112.5;1
76;Manila;14.6167;120.9667;1380
77;Medan;3.5833;98.65;24
78;Mengtsz;23.360024;103.43684;8
79;Moji;33.8667;130.8167;6
80;Mukden;41.792222;123.432778;125
81;Nagasaki;32.75;129.8667;29
82;Nagoya;35.1333;136.8833;6
83;Nanking;32.061667;118.777778;71
84;Nanning;22.816667;108.316667;4
85;Negri Sembilan;2.75;102.166667;87
86;Newchwang;40.664823;122.228329;24
87;Ningpo;29.878186;121.549453;19
88;Osaka;34.6667;135.5;131
89;Otaru;43.2333;140.9833;1
90;Padang;-0.95;100.353056;13
91;Pahang;3.5;102.75;78
92;Pakhoi;21.483333;109.1;8
93;Palembang;-2.9833;104.75;1
94;Peiping;39.928819;116.388869;249
95;Penang;5.32623;100.321579;482
96;Perak;5;101;355
97;Perlis;6.502948;100.24598;1
98;Philippines;13;122;4
99;Port Swettenham;3;101.4;8
100;Saigon;10.75;106.6667;300
101;Samshui;23.172804;112.833545;4
102;Sandakan;5.8667;118.0667;14
103;Santuao;26.641;119.677;2
104;Sarawak;2.5;113.5;127
105;Selangor;3.166667;101.5;603
106;Semarang;-6.9667;110.4833;25
107;Seoul;37.5333;127;72
108;Serangoon;1.3833;103.9167;1
109;Seremban;2.7;101.9;7
110;Shanghai;31.222222;121.458056;5319
111;Shasi;30.307222;112.244722;6
112;Shimonoseki;33.9833;130.9667;3
113;Shizuoka;35.025216;138.325424;2
114;Siam;15;100;6
115;Singapore;1.3667;103.8;1884
116;Sitiawan;4.2167;100.7;1
117;Soochow;31.304077;120.59538;14
118;Sourabaya;-7.2333;112.75;40
119;Straits Settlements;3.65;101.55;6
120;Sumatra;null;null;96
121;Swatow;23.36814;116.71479;77
122;Szechuen;30.5;102.6667;1
123;Taikoku;25.047;121.525;1
124;Taiyuanfu;37.869444;112.560278;1
125;Taku;33.2833;130.1333;5
126;Telok Anson;4.0333;101.0167;2
127;Tengyueh;24.994923;98.512759;2
128;Tientsin;39.142222;117.176667;912
129;Timah;1.3333;103.7667;1
130;Tokyo;35.75;139.5;407
131;Tonkin;22;105;21
132;Tourane;16.0667;108.2333;4
133;Trengganu;5;103;14
134;Tsinan;36.683333;117.05;50
135;Tsingtao;36.066049;120.369393;140
136;Vladivostok;43.15;131.8833;21
137;Weihaiwei;37.509136;122.113557;21
138;Wenchow;27.999416;120.66682;10
139;Wuchow;23.483333;111.316667;25
140;Wuhu;32.661111;117.266667;15
141;Yenchow;35.552778;116.828611;1
142;Yochow;29.3833;113.05;6
143;Yokohoma;35.4667;139.6333;212
144;Yunnanfu;25.038889;102.718333;23
145;Zamboanga;6.9167;122.0833;32
